LSR_GOODS_CD,LSR_GOODS_NM,FCLTY_TEL_NO
36511,[경기 파주] 퍼스트 가든,031-957-6861
36514,[전남 여수] 여수해상케이블카 + 스카이플라이,02-2202-3435
36521,[춘천/가평] 북한강 레인보우 투어패스 (성수기: 7/21~8/15) ★임팩트 특가 (7/23~7/29),031-580-8114
36522,[경북 경주] 플라잉 열기구,054-741-1230
36524,[전남 여수] 여수해상케이블카 + 엑스포카트,02-2202-3435
36527,[경기 가평] 자메이카수상레저 : ★여름방학 특가,010-5878-6774
36528,[전남 여수] 여수 해양 레일바이크,061-652-7882
36532,[충남 아산] 아산스파비스 종일권 : 성수기,041-539-2000
36549,[경기 고양] 일산 킨텍스 상상체험 키즈월드 시즌7,070-4801-4184
36553,[경기 고양] 일산 킨텍스 레이싱 키즈월드 룰루랄라 시즌3,070-4801-4184
36558,[부산 해운대] 벡스코 레이싱 키즈월드 시즌3 : 7/7 OPEN!,070-4801-6034
36571,[부산 해운대] 벡스코 상상체험 키즈월드 시즌7 : 7/7 OPEN!,070-4801-6034
36578,[충남 태안] 안면도 리솜오션캐슬 아쿠아월드 극성수기(7/27~8/15),041-671-7000
36579,[충북 제천] 리솜 해브나인 힐링스파 극성수기 (7/21~8/25),043-649-6011
36581,[경기 일산] 키즈월드가 만든 실내놀이터 킨텍스점 : ★원데이 특가,070-4801-4182
36585,[서울 용산] 로메로브리토 한국 특별전,02-6373-3365
36587,[경남 합천] 옐로우리버비치 자유이용권 골드시즌 (7/21~8/12),053-424-5235
36588,[경기 남양주] 레이크 수상레저,031-595-2345
36590,[충남 공주] 이안 숲속 + 야외수영장,041-855-2008
36592,[경기 가평] 자라섬 DJ 뮤직페스티벌 워터파크 물총축제,070-8802-5508
36593,[경기 포천] 신북온천 자유이용권,031-536-5025
36597,[서울 성동] 2018 루프탑 워터파티,010-5539-1664
36609,[충남 예산] 리솜스파캐슬 천천향 이용권 극성수기(7/21~8/19),041-330-8000
36612,[제주 안덕] 토이파크+피규어뮤지엄,064-792-2244
36614,[경기 가평] 인기HOT스팟 BFS수상레저 : ★핫딜특가,010-2222-4869
36615,[서울 용산] 은하철도999 갤럭시 오디세이展 : ★핫딜특가,070-8837-0999
36622,[경기 고양] 일산 킨텍스 상상체험 키즈월드 시즌7 : ★원데이 특가,070-4801-4184
36624,[부산 사하] 다대포워터파크,051-264-0028
36625,[경북 경주] 캘리포니아비치 + 경주월드 BIG5 1인권,054-745-7711
36626,[경북 경주] 캘리포니아비치 + 경주월드 BIG5 3/4인권,054-745-7711
36627,[경북 경주] 캘리포니아비치 + 경주월드 BIG5  패밀리권,054-745-7711
36630,[경기 가평] 마린보이 수상레저,010-7168-9761
36632,[경기 일산] 키즈월드가 만든 실내놀이터 킨텍스점 : ★여름방학 특가,070-4801-4182
36634,[경기 고양] 일산 킨텍스 상상체험 키즈월드 시즌7 : ★여름방학 특가,070-4801-4184
36640,[경기 용인] 캐리비안베이 오후권 2인,031-320-5000
36642,[경기 용인] 캐리비안베이 종일권 (오후1시이후 에버랜드 무료자유이용),031-320-5000
36660,[서울 삼성] 코엑스 아쿠아리움 7월 (7/21~7/31),02-700-7200
36661,[충남 아산] 파라다이스 스파 도고 : 극성수기(7/21~8/15),041-537-7100
36664,[인천 중구] 영종씨사이드 레일바이크,061-652-7882
36669,[경기 남양주] 웨이브서프 실내서핑&레저,031-595-2345
36671,[경북 청도] 청도 용암온천+빛축제 패키지,054-371-5500
36672,[경북 청도] 청도 용암온천 숙박+빛축제 패키지,054-371-5500
36673,[경북 청도] 청도 용암온천 가족탕+빛축제 패키지,054-371-5500
36680,[서울 용산] 한국자전거나라의 중앙박물관투어,010-9835-0234
36681,[강원 홍천] 오션월드 종일권 골드시즌,1588-4888
36683,[광주 동구] 하이주 광주점,062-222-0673
36685,[대전 중구] 대전 아쿠아리움 : ★ 임팩트 특가,042-226-2100
36688,[강원 평창] 휘닉스평창 블루캐니언 : ★ 핫딜 특가 (7/23~8/26),1588-2828
36690,[서울 성수]  하이 아이스크림전 : ★ 임팩트 특가,02-521-8016
36693,[제주] 신화월드 신화테마파크 + 상효원 : ★임팩트 특가,064-908-8888
36695,[충남 아산] 아산스파비스 : ★임팩트 특가,041-539-2000
36716,[경북 경산] 펀펀비치 워터파크 골드시즌,053-817-5500
36721,[전남 화순] 금호리조트 아쿠아나 골드시즌,061-372-8000
36726,[경북 경산] 펀펀비치 워터파크 : ★ 임팩트 특가,053-817-5500
36737,[경기 일산] 원마운트 워터파크 : ★임팩트 특가,1566-2232
36744,[경기 용인] 에버랜드 종일/오후권,031-320-5000
36791,"[서울 중구] 반얀트리 HI-5 FESTIVAL : Powered by BLUE MOON, COORS LIGHT, MILLER, KLOU",010-6268-0364
36796,[경기 일산] 실내동물원 와우쥬  : ★핫딜특가,031-816-5076
36797,[경기 양평] 오르다온 송백수목원 : ★핫딜특가,031-772-6390
36798,[경북 경주] 캘리포니아비치 + 경주월드 BIG5 1인권 골드시즌,054-745-7711
36799,[경북 경주] 캘리포니아비치 + 경주월드 BIG5 3/4인권 골드시즌,054-745-7711
36800,[경북 경주] 캘리포니아비치 + 경주월드 BIG5  패밀리권,054-745-7711
36801,[경남 김해] 롯데워터파크,1599-8370
36802,[인천 중구] 영종스카이리조트 워터파크,032-745-9036
36808,[경기 부천] 웅진플레이도시 뽀로로 플레이파크,1577-5773
36810,[전남 곡성] 기차마을 패러글라이딩 체험,010-5847-7448
36813,[경기 가평] 을지문덕 마상쇼,031-582-8279
36846,[경북 경주] 추억의 달동네,054-748-5002
36849,[서울 마포] 한국자전거나라의 경복궁투어,010-9835-0234
36853,[경기 안양] 아이존팝 안양범계점,031-384-9012
36855,"[강원 춘천] 제이드가든 : ★ 특가 15,000원",033-260-8300
36858,[경기 가평] 바하마수상레저 : ★ 특가 이벤트,031-585-7787
36860,[경기 이천] 미란다호텔 스파플러스,031-639-5000
36861,[경기 과천] 서울대공원 리프트 + 서울동물원 입장권 패키지,02-500-7335
36862,[경남 산청] 지리산래프팅+ATV+서바이벌,055-974-1888
36868,[전북 전주] 전주가맥축제 + 한옥마을 1일권,1544-1821
36873,[전남 여수] 해상케이블카,02-2202-3435
36874,[경기 용인] 캐리비안베이 + 자켓무료 + 에버랜드 오후무료,031-320-5000
36876,[서울 서초] 평일 왕초보 방송 댄스반,010-4864-9936
36878,[전남 여수] 해상케이블카,02-2202-3435
36890,[서울 중구] 한국자전거나라의 덕수궁 주간투어,010-9835-0234
36894,[강원 강릉] 강릉 서프홀릭,010-4563-9584
36906,[전남 여수] 푸른마리나요트 퍼블릭투어,061-807-2255
36907,[춘천/가평] 북한강 레인보우 투어패스 성수기 (7/21~8/15),031-580-8114
36908,[경기 안산] 대부도 아쿠아시티 : 야외수영장,1644-3655
36909,[전북 부안] 원숭이학교&자연사박물관 ★핫딜특가,063-584-0708
36910,[경남 합천] 블라블라 페스타 1+1 ★핫딜특가,053-424-5235
36911,[충북 제천] 리솜 해브나인 힐링스파 극성수기,043-649-6011
36927,[제주 제주시] 퍼시픽랜드+그리스신화박물관 반값할인! ★핫딜특가,064-738-2888
36933,[전남 여수] 여수 해상레일바이크 ★핫딜특가,061-652-7882
36934,[경기 양평] 세미원,031-775-1835
36935,[제주 서귀포] 자바론서프,010-3315-2180
36938,[충북 단양] 강산에 레포츠,010-9423-7689
36939,[서울 성수] 인생사진관2 ★핫딜특가,1544-1657
36942,[경북 경주] 경주 버드파크,054-777-7200
36943,[전남 여수] 디오션 워터파크 이용권 : 핫시즌III (8/6~8/26),1588-0377
36944,[서울 잠실] 롯데월드 아쿠아리움 + T단기데이터 1일권,1661-2000
36962,[춘천/가평] 북한강 레인보우 투어패스 준성수기 (8/16~9/9),031-580-8114
36969,[서울 강서] 코코몽 키즈랜드 강서점,02-2667-9812
36971,[광주 북구] 코코몽 키즈랜드 광주역점,062-510-7760
36972,[대전 중구] 코코몽 키즈랜드 대전 중앙로점,042-718-2445
36973,[경기 수원] 코코몽 키즈랜드 동수원점,031-231-6956
36974,[서울 삼성] 코엑스 아쿠아리움 8월(8/1~8/31),02-700-7200
36975,[경기 고양] 아이존팝 일산점(키덜트),031-902-9012
36976,[경기 고양] 아이존팝 화정점,031-979-9012
36981,[부산] 키자니아 어린이 체험테마파크,1544-5110
36982,[경기 가평] 철없는수상레저 ★핫딜특가,070-4190-4157
36987,[경기 일산] 원마운트 워터파크 8월,1566-2232
36988,[경기 일산] 원마운트 스노우파크 8월,1566-2232
36991,[대구 수성] 코코몽 키즈랜드 동아수성점,053-780-1977
36992,[부산 금정] 코코몽 키즈랜드 부산대점,051-509-7391
36995,[경기 부천] 코코몽 키즈랜드 부천 뉴코아점,032-624-8051
36996,[서울 송파] 코코몽 키즈랜드 송파점,02-2157-5718
36997,[경북 경주] 밀레니엄 VR,070-7719-9900
36998,"[강원 홍천] 무더운 여름, 시원한 즐거움 찾아 알파카월드 가자",1899-2250
37001,[서울 잠실] 롯데월드 아쿠아리움 + 롯데 뮤지엄 8월,1661-2000
37002,[경기 청평] 포세이돈 수상레저&숙박&바비큐 패키지,02-3780-8458
37003,[서울 잠실] 롯데월드 아쿠아리움 8월,1661-2000
37004,[서울 잠실] 롯데월드 아쿠아리움 + 펍앤그릴 패키지 8월,1661-2000
37006,[강원 양양] 마린서프,010-3940-0010
37007,[충남 당진] 삽교호 바다공원 워터파크 패키지,041-363-6960
37008,[서울 목동] 목동종합사격장,02-2646-9993
37009,[전남 순천] 코코몽 키즈랜드 순천점,061-720-5870
37010,[경기 안산] 코코몽 키즈랜드 안산점,031-8085-1962
37011,[인천 남동] 코코몽 키즈랜드 인천점,032-430-5915
37012,[경기 평택] 코코몽 키즈랜드 평택점,031-692-3866
37013,[경기 수원] 코코몽 키즈랜드 수원터미널점,031-8065-3682
37014,[경기 용인] 캐리비안베이 오후2인권+자켓대여 2인 패키지 (에버랜드 16시30분 무료이용),031-320-5000
37015,[서울 동대문] 한복 웨딩카페 : 한복체험 촬영,070-7569-0652
37016,[경북 경주] 프로방스 빛축제,1899-1165
37023,[서울 용산] 은하철도999 갤럭시 오디세이展,070-8837-0999
37024,[서울 서초] 예술의전당 신카이마코토展  : ★핫딜특가,02-2261-1393
37025,[경기 남양주] 코코몽팜빌리지&교통안전체험관,031-560-1471
37026,[경기 가평] 초콜릿 연구소 뮤지엄,031-585-4691
37030,[부산 부산진구] 삼정더파크 야간권,051-811-8800
37031,[부산 수영] 아쿠아펠리스 워터파크,051-790-2300
37043,[충남 아산] 아산스파비스 종일권 : 극성수기,041-539-2000
37045,[경북 경주] 아라나비 짚트랙 : ★핫딜특가,054-743-7002
37046,[경기 양평] 패러글라이딩파크,031-775-2681
37048,[전북 전주] 레전드히어로즈 : 전주시가지점,063-229-2559
37049,[강원 태백] 365세이프타운 자유이용권,033-550-3101
37050,[서울 잠실] 롯데월드 자유이용권,1661-2000
37051,[서울 잠실] 롯데월드 패밀리 자유이용권,1661-2000
37052,[서울 잠실] 롯데월드 자유이용권 + TGIF 식사 패키지,1661-2000
37053,[서울 잠실] 롯데월드 자유이용권 + 햄버거,1661-2000
37054,[서울 잠실] 롯데월드 자유이용권 + VR 체험,1661-2000
37055,[경남 거제] 리우 수상레저,010-3112-3759
37057,[부산 동구] 오션 뮤직 페스티벌 (10/6~10/7),051-811-1045
37059,[강원 속초] 호텔 스파스토리 인 설악 스파 입장권,033-800-0300
37062,[경기 일산] 원마운트 스노우파크 야간권 : ★핫딜,1566-2232
37075,[부산 북구] 포시즌파크 화명 야외수영장,051-333-3238
37076,[전북 완주] 꿈꾸는아이 직업체험장,1522-4263
37077,[대구 달성] 스파밸리 워터파크 골드시즌 이용권,1688-8511
37078,[대구 달성] 스파밸리 워터파크 골드시즌 야간권,1688-8511
37079,[대구 달성] 스파밸리 워터파크 골드시즌 3/4인 종일권,1688-8511
37086,[강원 강릉] 강릉시티투어 1코스 월화거리,033-641-3903
37090,[서울 여의도] K-STAR VR 체험 이용권 ★특가,070-7655-1101
37092,[서울 용산] 블루스퀘어 인터파크 VR ★바캉스 특가,1544-1591
37093,[서울 잠실] 롯데월드 아쿠아리움 7월,1661-2000
37094,[경기 용인] 기간한정 캐리비안베이 종일권 + 에버랜드 오후1시이후 자유이용,031-320-5000
37096,[강원 평창] 조나단 패러글라이딩 ★핫딜특가,033-333-2625
37097,[경기 용인] 캐리비안베이 하이시즌 종일권,031-320-5000
37098,[경기 용인] 에버랜드 종일/오후권(8/7~9/7),031-320-5000
37100,[경남 합천] 옐로우리버비치 주말 프리패스권,053-424-5235
37106,[서울 중구] 반얀트리 HI-5 FESTIVAL ★핫딜특가,010-6268-0364
37110,[부산 해운대] SEA LIFE 부산아쿠아리움 ★여름특가,051-740-1700
37111,[대구 수성] 아이니테마파크,053-792-7600
37112,[경북 성주] 아라월드 수상레저,054-933-0014
37113,[경기 용인] 캐리비안베이 이용권 총집합! : ★핫딜특가,031-320-5000
37114,[대구] ★이월드 연간회원권,053-620-0001
37115,[서울 광진] 쥬티클럽 한강에서 즐기는 선셋카약,02-444-8229
37116,[강원 인제] 내린천 미래래프팅,011-378-5037
37117,[경기 고양] 배다골 테마파크 & 워터파크,031-970-6330
37118,[경남 하동] 섬진강 카누클럽,010-3526-8045
37122,[경남 통영] 한산마리나 요트&해양레저,055-648-3332
37124,[경기 용인] ★초특가! 캐리비안베이 패키지 (종일권+자켓+에버랜드 오후이용),031-320-5000
37126,[서울 여의도] 트렌디 스포츠페스티벌 & 선셋파티 : 8/11 OPEN!,010-2113-7563
37127,[경기 용인] 캐리비안베이 종일권 + 자켓대여 패키지,031-320-5000
37132,[부산 해운대] 신세계 스파랜드 ★핫딜특가,051-745-2900
37137,[경북 포항]아이존팝 포항점 (키덜트),070-8808-9012
37140,[제주 안덕] 신화월드 신화테마파크,064-908-8888
37141,[제주 서귀포] 신화 워터파크,1670-8800
37142,[경남 김해] 롯데워터파크,1599-8370
37143,[제주 애월] 고스트타운 : 이색테마파크,064-748-4245
37144,[경북 경주] 세계 자동차박물관,054-742-8900
37145,[경기 파주] 사파리 체험테마파크,031-946-6656
37146,[제주 서귀포] 타크라 스쿠버다이빙,010-5560-7103
37147,[제주 제주시] 숲속 물놀이장,064-711-1002
37148,[전남 보성] 비봉공룡공원,1833-8777
37149,[충북 단양] 수양개빛터널,043-421-5454
37150,[서울 영등포] 키즈앤키즈 직업체험관,1899-8778
37151,[경기 이천] 별빛정원 우주 + 리쏘빌 이천점,031-645-0002
37153,[경남 산청] 봄여름가을겨울 래프팅 : ★핫딜특가,055-974-3993
37154,[서울 성북] 영브이알 : VR체험,02-923-6063
37156,[경기 용인] 캐리비안베이 이용권 총집합!,031-320-5000
37158,[경북 경주] 캘리포니아비치 골드시즌 야간입장권,054-745-7711
37160,[서울 용산]N서울타워 & 다이닝 패키지,02-3455-9255
37161,[제주 안덕] 본태박물관,064-792-8108
37162,[제주 애월] 제주불빛정원 + 인생사진관,064-799-6996
37165,[강원 춘천] 루비코니 집라인 : ★핫딜특가,070-4150-9463
37166,[강원 강릉] 쉐어링앤기브 커피테마파크,010-3177-1723
37168,[서울 잠실] 롯데월드 어드벤쳐 입장권 : ★ 임팩트 특가(8/13-8/20),1661-2000
37181,[대구 중구] 동성로 캠프 VR,053-255-4390
37182,[충남 아산] 아산스파비스 종일권 : 성수기,041-539-2000
37183,[충남 아산] 아산스파비스 종일권 : 극성수기,041-539-2000
37185,[경남 창원] 창원 합성동 캠프 VR,055-292-9300
37186,[경기 고양] 일산 웨스턴돔 캠프 VR,070-8862-2288
37191,[경기 이천] 테르메덴 온천수 워터파크&스파,031-645-2000
37230,[경기 가평] 워터플레이 수상레저 : ★ 핫딜특가,070-4101-4654
37231,[경남 합천] 옐로우리버비치 실버시즌 자유이용권 (8/13~9/02),053-424-5235
37232,[강원 평창] 알펜시아 오션700 : 성수기 (~8/19) : ★핫딜특가,033-339-0100
37234,[전북 전주] 한옥마을 1일권 + 오케스트라 패키지,063-244-1201
37246,[경기 고양] 일산 더어드벤처 : ★ 3일 특가 (8/10~8/12),031-961-6767
37247,[경남 합천] 옐로우리버비치 자유이용권 골드시즌 (7/21~8/12),053-424-5235
37249,[강원 강릉] 강릉시티투어 2코스 바다열차,033-641-3903
37250,[강원 강릉] 강릉시티투어 3코스 바다부채길,033-641-3903
37251,[전북 전주] 예쁨주의보展 인생사진관 + VR체험,063-277-7008
37252,[제주 중문] JSMF 2018 제주 썸머 뮤직 페스티벌,1544-3460
37253,[부산 해운대] 송정 마리나 엑스 루프탑 풀파티,051-701-9800
37254,[경기 이천] 미란다호텔 스파플러스: ★핫딜특가,031-639-5000
37262,[경남 김해] 장유스파랜드(구.온천랜드),055-330-9000
37263,[제주 서귀포] 테라피 샹그릴라,064-738-8339
37264,[대구 동구] 팔공산케이블카,053-9828-803
37265,[부산 해운대] 스파마린,051-744-8900
37266,[제주 조천] 돌핀레저,1522-2089
37267,[제주 서귀포] 블루마린다이브,064-738-1712
37268,[세종 나성로] 펀펀월드 키즈테마파크,044-865-3230
37269,[경남 김해] 부경동물원,055-338-5250
37270,[경북 경주] 백악기월드,054-748-3500
37271,[경북 경주] 또봇정크 아트뮤지엄,054-741-5300
37273,[경기 일산] 더어드벤처 : 아이스엔초비,031-961-6767
37275,[서울 여의도] 서울마리나 오르티가,02-3780-8406
37276,[경기 부천] 플레이아쿠아리움 입장권 사전판매 ★오픈특가,032-326-9500
37277,[경기 부천] 플레이아쿠아리움 연간회원권 ★오픈특가,032-326-9500
37284,[서울 강남] 전시 위대한낙서展 : OBEY THE MOVEMENT : ★핫딜 특가,02-2138-0952
37285,[제주] 스타렉스 12인승 (경유) 2010~11년형 : 자차보험 포함,064-749-6100
37286,[제주] 올뉴모닝 (휘발유) 2014년형 : 자차보험 포함,
37287,"[제주] 올 뉴카니발 9인승,11인승(금연/경유) 2014~17년형 (랜덤배정) : 자차보험 포함",
37288,[제주] K5 2011~13년형(LPG) 랜덤배정 : 자차보험 포함,
37289,[제주] LF소나타&NEW K5 2015~16년형(금연/LPG) 랜덤배정 : 자차보험 포함,064-749-6100
37290,[제주] 레이 2015년형(금연/휘발유) : 자차보험 포함,064-749-6100
37291,[제주] 아반떼AD/i30/올뉴K3 (휘발유) 2016~2017년형 랜덤배정 : 자차보험 포함,
37292,[제주] 아반떼MD 2011~15년형(LPG/휘발유) 랜덤배정 : 자차보험 포함,
37293,[제주] 소형SUV 코나 2018년형 (금연/휘발유) : 자차보험 포함,
37294,[충북 단양] 수양개빛터널 ★핫딜특가,043-421-5454
37296,[서울 성북] 아이존팝 : 테마파크 오락실,02-921-9012
37297,[경기 안양] 아이존팝 안양1번가점,031-466-9012
37298,[경기 의정부] 아이존팝 : 이색테마파크,031-821-9010
37301,[충북] 충북힐링투어패스 + 단양수양개빛터널,043-421-5454
37302,[강원 홍천] 오션월드 종일권 미들시즌 (8/20~),1588-4888
37303,[강원 영월] 동강시스타 힐링스파 주말/공휴일 이용권,033-905-2000
37304,[경북 경주] 캘리포니아비치 + 경주월드 BIG5 1인권 : 하이시즌2,054-745-7711
37305,[경북 경주] 캘리포니아비치 + 경주월드 BIG5 3/4인권 : 하이시즌2,054-745-7711
37306,[경북 경주] 캘리포니아비치 + 경주월드 BIG5  패밀리권 : 하이시즌2,054-745-7711
37307,[서울 인사동] 마녀정원展,02-3661-7772
37308,[서울 강남] BBR 실내스키장,010-2018-2037
37309,[부천/부산/대전] 하이주 전지점 : ★핫딜특가,070-7767-0815
37312,[경기 포천] 신북온천 자유이용권,031-536-5025
37313,[충남 태안] 안면도 리솜오션캐슬 아쿠아월드,041-671-7000
37325,[충남 아산] 아산스파비스 종일권 : 성수기,041-539-2000
37327,[경남 김해] 롯데워터파크,1599-8370
37331,[서울 여의도] 2018 개츠비파티,010-5539-1664
37334,[경기 용인] 에버랜드 종일/오후 이용권 (~9/30),031-320-5000
37336,[경북 성주] 아라월드 수상레저,054-933-0014
37337,[경남 통영] 오션브리즈 요트투어,1661-9210
37340,[충남 공주] 장승마을 빛축제 ★핫딜특가,041-841-5220
37341,[충남 아산] 파라다이스 스파 도고 : 성수기 (~9/2),041-537-7100
37342,[충남 천안] 상록아쿠아피아 로우시즌 주말 및 공휴일 이용권,041-560-9114
37343,[경기 부천] 웅진플레이도시 워터파크 하이시즌 이용권,1577-5773
37344,[서울 종로] 로맨틱코미디 연극 한뼘사이,070-8952-2151
37345,[서울 동대문] 라마다앙코르호텔 옥시젠 산소캡슐방,02-2116-6077
37346,"[경기 일산] 원마운트 워터파크 8,9월",1566-2232
37348,[충남 예산] 리솜스파캐슬 천천향 이용권,041-330-8000
37349,"[경기 일산] 원마운트 스노우파크 8,9월",1566-2232
37350,[경기 용인] 캐리비안베이 종일 + 자켓무료 (~8/31) ★ 핫딜특가,031-320-5000
37351,[대구 달성] 스파밸리 워터파크 하이시즌,1688-8511
37352,[경남 김해] 락스타 롤러스케이트장,055-339-9199
37354,[서울 강남] 라마다 서울호텔 스파플러스,02-6202-2020
37355,[경북 울진] 덕구온천 스파월드,054-782-0677
37356,[경북 울진] 덕구온천 스파월드,054-782-0677
37357,[경기 이천] 테르메덴 온천수 워터파크&스파 : 준성수기,031-645-2000
37359,[강원 양양] 서퍼스,010-3162-0062
37360,[충남 천안] 오션파크 인근  구명조끼렌탈샵,010-3933-2765
37361,[전북 전주] 한옥마을패스 1일권 + 팝플레이스 패키지,063-284-9909
37362,[강원 양양] 서피비치 서핑강습패키지(하이시즌),02-3780-8457
37371,[강남/둔산] 못된VR 체험,02-535-5309
37375,[전남 여수] 디오션 워터파크 이용권 : 썸시즌Ⅱ (8/27~9/2),1588-0377
37379,[인천 남동] 실내 동물체험카페 페팅쥬,070-4388-1510
37380,[강원 평창] 알펜시아 오션700 종일권,033-339-0100
37381,[광주 동구] 하이주 실내 동물원,062-222-0673
37383,[경기 청평] 포세이돈 레저&숙박&바비큐 패키지,02-3780-8458
37384,[서울 강남] 피규어뮤지엄 W 성인권 : ★핫딜특가,02-512-8865
37385,[전주] 한옥숙박 체험관,063-285-3800
37386,[경기 고양] 일산 웨스턴돔 캠프 VR ★핫딜특가,070-8862-2288
37387,[경남 창원] 합성동 캠프VR ★핫딜특가,055-292-9300
37388,[대구 중구] 동성로 캠프 VR ★핫딜특가,053-255-4390
37401,[전북 무주] 무주 반딧불축제 투어패스 (9/1~9/9),063-324-2440
37402,[경기 과천] 서울대공원 리프트 + 서울동물원 입장권 패키지,02-500-7335
37405,[서울 홍대] 샹그리아와 뱅쇼 만들기★핫딜특가,010-9900-9774
37406,[전북 전주] 오케스트라 찜질방&사우나,063-244-1201
37407,[경기 부천]아인스키즈 롤러장,032-320-6090
37408,[경기 양평] 두메향기,031-774-3114
37429,[제주 조천] 국제리더스클럽,064-783-0000
37430,[대구 달성] 스파밸리 하이/미들시즌 특가,1688-8511
37433,[서울 고척] 랩비트페스티벌 2018,02-6012-7135
37434,[서울 강동]더쥬 실내동물원★핫딜특가,02-470-2003
37435,[강원 홍천] 휘바핀란드,1899-1663
37436,[경북 경주] 힐링 테마파크,1899-1165
37437,[부산 해운대] 앙코르 벡스코 상상 + 레이싱 키즈월드,070-4801-6034
37438,[경기 용인] 캐리비안베이 종일권 (9/1~10/15),031-320-5000
37439,[경기 용인] 캐리비안베이 콤비권(캐리비안베이 주간 + 에버랜드 오후 이용권) (8/27~9/30),031-320-5000
37440,[경기 용인] 캐리비안베이 대인+소인 2인권 (9/1~10/15),031-320-5000
37441,[경기 용인] 에버랜드 맘&키즈 세트권 (~9/30),031-320-5000
37445,[강원 평창] 휘닉스평창 블루캐니언 종일권,1588-2828
37449,[강원 양양] 서피비치★핫딜특가,02-3780-8457
37463,[강원 평창] 휘닉스평창 블루캐니언 세트권,1588-2828
37464,[경기 이천] 미란다호텔 스파플러스 : ★핫딜특가,031-639-5000
37465,[경기 화성]하피랜드 : 워터파크 + 찜질방 + 스파 : ★ 핫딜특가,1577 - 5752
37466,[경기 용인]캐리비안베이이용하면 11월 에버랜드 무료 (~9/30),031-320-5000
37468,[경남 통영]통영히어로즈,055-643-0007
37469,[경남 김해]가야랜드 가을 체험 놀이터,055-346-6000
37470,[전남 화순] 금호리조트 아쿠아나 실버시즌 (8/27~10/9),061-372-8000
37472,[경기 부천] 웅진플레이도시 워터파크 레드 연간이용권,1577-5773
37473,[강원 평창] 알펜시아 오션700 종일권,033-339-0100
37476,[여수/제주] 한일고속훼리 : 여수↔제주 승선권,02-535-2106
37478,[경북 경주] 정동극장 SILLA 에밀레,054-740-3800
37480,[경남 김해] 롯데워터파크 하이시즌,1599-8370
37481,[강원 평창] ★휘닉스평창 블루캐니언 종일권 화이트시즌,1588-2828
37491,[서울 영등포] 키즈앤키즈 직업체험관 9월,1899-8778
37492,[전북 전주] 한옥마을패스 + S-train 왕복티켓,1599-8372
37493,[전북 남원] 남원투어패스 + S-train 왕복티켓,1599-8732
37494,[부산 해운대] 와우요트 퍼플릭투어,010-3575-7877
37496,[경북 경주] 한화리조트 뽀로로 아쿠아빌리지,054-777-8300
37498,[부산 수영]아쿠아펠리스 워터파크,051-790-2300
37499,[제주 표선] 제주 알프스승마장,064-787-3663
37500,[제주 제주시] 차귀도 유람선 : 유람선체험,064-722-3224
37501,[제주 제주시] 힐링 카약 비체올린,064-773-0000
37502,[경북 경주] 백악기월드 패키지,054-748-3500
37505,[서울 종로] 로맨틱코미디 연극 한뼘사이 9월,070-8952-2151
37507,[경기 수원] 너티차일드 광교점 9월,031-215-9130
37508,[경북 대구]너티차일드 대구점 9월,053-355-0478
37509,[경기 용인] 너티차일드 용인점 9월,031-229-3374
37510,[충남 천안] 너티차일드 천안점 9월,041-566-1823
37511,[강원 양양] 마린서프,010-3940-0010
37514,[경북 청도] 청도 용암온천+빛축제 패키지 ★핫딜특가,054-371-5500
37515,[경북 청도] 청도 용암온천 가족탕+빛축제 패키지 ★핫딜특가,054-371-5500
37520,[경기 이천] 미란다 스파플러스 (8/27~9/30),031-639-5000
37521,[전남 순천] 순천만국가정원 스카이큐브 탑승권,061-740-0600
37525,[서울 강서] 코코몽 키즈랜드 강서점,062-510-7760
37531,[경기 가평] 탑랜드 번지점프★핫딜특가,031-582-5372
37534,[서울 영등포] 키즈앤키즈 직업체험관,1899-8778
37539,[경북 문경] 문경 짚라인,1588-5219
37540,[경기 용인] 용인 짚라인,1588-5219
37541,[충북 충주] 충주 짚라인,1588-5219
37542,[경기 가평] 짚라인 체험이용권 8개코스,1588-5219
37543,[서울 여의도] K-STAR VR 체험 이용권,070-7655-1101
37545,[제주 조천] 라이트 아트페스타 야간권,064-784-9030
37548,[전북 고창] 고창투어패스 + 석정휴스파 패키지,063-560-7300
37551,[서울 종로] 로맨틱코미디 연극 한뼘사이 ★핫딜특가,070-8952-2151
37566,[제주 서귀포] 샹그릴라 요트투어,1544-2988
37567,[제주 조천] 에코랜드 테마파크,064-802-8000
37568,[서울 광진] 몬스터VR : VR체험,070-5208-3155
37569,[경남 김해] 롯데워터파크 티키아일랜드 찜질방+사우나,1661-2000
37570,[경기 용인 ] 캠스토리 가을 체험놀이터,031-274-6527
37571,[서울 삼성] 코엑스 아쿠아리움 9월(9/1~9/30),02-700-7200
37572,[경기 가평]2018 멜로디 포레스트 캠프,07043530090
37574,[제주 중문] 2018 제주청춘뮤직페스티벌,1544-3460
37575,[충북 제천] 제천 짚트랙 + 산악체험,043-646-8785
37576,[인천 송도] 도심형 테마파크 몬스터 VR,032-310-9576
37577,[강원 속초] 설악워터피아 하이시즌 종일권,033-635-7700
37578,[충남 아산] 아산스파비스 종일권,041-539-2000
37579,[경기 일산] 원마운트 워터파크,1566-2232
37580,[경기 일산] 원마운트 스노우파크,1566-2232
37581,[전남 여수] 해상케이블카,02-2202-3435
